__time,/imu/angular_velocity/x,/imu/angular_velocity/y,/imu/angular_velocity/z,/imu/angular_velocity_covariance[0;0],/imu/angular_velocity_covariance[0;1],/imu/angular_velocity_covariance[0;2],/imu/angular_velocity_covariance[1;1],/imu/angular_velocity_covariance[1;2],/imu/angular_velocity_covariance[2;2],/imu/header/seq,/imu/header/stamp,/imu/linear_acceleration/x,/imu/linear_acceleration/y,/imu/linear_acceleration/z,/imu/linear_acceleration_covariance[0;0],/imu/linear_acceleration_covariance[0;1],/imu/linear_acceleration_covariance[0;2],/imu/linear_acceleration_covariance[1;1],/imu/linear_acceleration_covariance[1;2],/imu/linear_acceleration_covariance[2;2],/imu/orientation/pitch_deg,/imu/orientation/roll_deg,/imu/orientation/w,/imu/orientation/x,/imu/orientation/y,/imu/orientation/yaw_deg,/imu/orientation/z,/imu/orientation_covariance[0;0],/imu/orientation_covariance[0;1],/imu/orientation_covariance[0;2],/imu/orientation_covariance[1;1],/imu/orientation_covariance[1;2],/imu/orientation_covariance[2;2]
91.980000,0.024727,0.020940,-0.031349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,91.979000,0.048482,0.007500,9.804714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297187,0.029517,0.997118,0.000060,-0.002606,-8.696679,-0.075819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.080000,0.022596,0.021298,-0.031669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.000000,92.079000,0.051990,0.006382,9.798691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297220,0.029471,0.997025,0.000057,-0.002606,-8.836385,-0.077035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.180000,0.022776,0.021838,-0.031269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.000000,92.179000,0.049122,0.006404,9.802696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297363,0.029248,0.996931,0.000051,-0.002607,-8.975543,-0.078245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.280000,0.024209,0.021179,-0.031504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.000000,92.279000,0.051693,0.002677,9.798525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297187,0.029540,0.996835,0.000051,-0.002606,-9.113994,-0.079450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.380000,0.032855,0.020367,-0.035235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.000000,92.379000,0.049118,-0.001011,9.800074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297250,0.029393,0.996737,0.000046,-0.002606,-9.255417,-0.080680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.480000,0.024361,0.026042,-0.035787,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.000000,92.479000,0.055146,0.008765,9.794711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297269,0.029600,0.996638,0.000045,-0.002607,-9.394674,-0.081891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.580000,0.033802,0.019317,-0.032839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.000000,92.579000,0.047065,-0.007687,9.810645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297462,0.028927,0.996538,0.000036,-0.002608,-9.533622,-0.083100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.680000,-0.002897,-0.001381,0.000358,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.000000,92.679000,0.050383,-0.012127,9.850636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.298331,0.029251,0.996464,0.000036,-0.002616,-9.635473,-0.083985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.780000,-0.012258,-0.006199,0.000608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.000000,92.779000,0.046585,0.019271,9.768610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297864,0.029174,0.996450,0.000035,-0.002612,-9.654316,-0.084149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.880000,-0.012100,-0.006264,0.000654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43.000000,92.879000,0.051186,0.005179,9.799732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297797,0.029181,0.996432,0.000034,-0.002611,-9.679118,-0.084365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.980000,-0.006740,-0.001724,0.001552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.000000,92.979000,0.056088,-0.007270,9.797007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.298093,0.029262,0.996415,0.000034,-0.002614,-9.701665,-0.084561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.080000,0.044742,0.021594,-0.022154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.000000,93.079000,0.062551,-0.013303,9.757458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297309,0.030927,0.996395,0.000049,-0.002608,-9.728348,-0.084793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.180000,-0.006892,-0.006820,-0.000196,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,46.000000,93.179000,0.032696,0.030414,9.857201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297805,0.029257,0.996374,0.000033,-0.002611,-9.756795,-0.085040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.280000,-0.004502,-0.001654,0.000900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.000000,93.279000,0.057263,-0.003817,9.797059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.298071,0.029316,0.996355,0.000033,-0.002613,-9.782011,-0.085260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.380000,-0.010174,-0.006016,0.000218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.000000,93.379000,0.046006,0.017611,9.795397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297882,0.029205,0.996335,0.000032,-0.002612,-9.808949,-0.085494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.480000,-0.000310,-0.007258,-0.001245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,49.000000,93.479000,0.048622,-0.003061,9.819080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297924,0.029220,0.996317,0.000031,-0.002612,-9.833380,-0.085706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.580000,0.001125,-0.002510,0.000628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,93.579000,0.055539,-0.004175,9.809176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.298251,0.029227,0.996298,0.000030,-0.002615,-9.858535,-0.085925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
